"SCC.Level.Two" "SCC.Level.Three" "SCC.Level.Four"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Local: Urban Time 4"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Urban Local: Brake Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Urban Local: Tire Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Urban Local: Evap (except Refueling)"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Urban Local: Exhaust"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Parking Area: Rural"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Parking Area: Urban"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Parking Area: Total"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Total: All Road Types"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Rural Interstate: Total"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Interstate: Rural Time 1"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Interstate: Rural Time 2"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Interstate: Rural Time 3"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Interstate: Rural Time 4"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Rural Interstate: Brake Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Rural Interstate: Tire Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Rural Interstate: Evap (except Refueling)"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Rural Interstate: Exhaust"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Rural Other Principal Arterial: Total"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Other Principal Arterial: Rural Time 1"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Other Principal Arterial: Rural Time 2"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Other Principal Arterial: Rural Time 3"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Other Principal Arterial: Rural Time 4"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Rural Other Principal Arterial: Brake Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Rural Other Principal Arterial: Tire Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Rural Other Principal Arterial: Evap (except Refueling)"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Rural Other Principal Arterial: Exhaust"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Rural Minor Arterial: Total"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Minor Arterial: Rural Time 1"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Minor Arterial: Rural Time 2"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Minor Arterial: Rural Time 3"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Minor Arterial: Rural Time 4"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Rural Minor Arterial: Brake Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Rural Minor Arterial: Tire Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Rural Minor Arterial: Evap (except Refueling)"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Rural Minor Arterial: Exhaust"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Rural Major Collector: Total"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Major Collector: Rural Time 1"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Major Collector: Rural Time 2"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Major Collector: Rural Time 3"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Major Collector: Rural Time 4"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Rural Major Collector: Brake Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Rural Major Collector: Tire Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Rural Major Collector: Evap (except Refueling)"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Rural Major Collector: Exhaust"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Rural Minor Collector: Total"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Minor Collector: Rural Time 1"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Minor Collector: Rural Time 2"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Minor Collector: Rural Time 3"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Minor Collector: Rural Time 4"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Rural Minor Collector: Brake Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Rural Minor Collector: Tire Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Rural Minor Collector: Evap (except Refueling)"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Rural Minor Collector: Exhaust"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Rural Local: Total"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Local: Rural Time 1"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Local: Rural Time 2"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Local: Rural Time 3"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Local: Rural Time 4"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Rural Local: Brake Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Rural Local: Tire Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Rural Local: Evap (except Refueling)"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Rural Local: Exhaust"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Urban Interstate: Total"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Interstate: Urban Time 1"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Interstate: Urban Time 2"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Interstate: Urban Time 3"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Interstate: Urban Time 4"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Urban Interstate: Brake Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Urban Interstate: Tire Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Urban Interstate: Evap (except Refueling)"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Urban Interstate: Exhaust"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Urban Other Freeways and Expressways: Total"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Other Freeways and Expressways: Urban Time 1"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Other Freeways and Expressways: Urban Time 2"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Other Freeways and Expressways: Urban Time 3"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Other Freeways and Expressways: Urban Time 4"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Urban Other Freeways and Expressways: Brake Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Urban Other Freeways and Expressways: Tire Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Urban Other Freeways and Expressways: Evap (except Refueling)"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Urban Other Freeways and Expressways: Exhaust"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Urban Other Principal Arterial: Total"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Other Principal Arterial: Urban Time 1"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Other Principal Arterial: Urban Time 2"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Other Principal Arterial: Urban Time 3"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Other Principal Arterial: Urban Time 4"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Urban Other Principal Arterial: Brake Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Urban Other Principal Arterial: Tire Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Urban Other Principal Arterial: Evap (except Refueling)"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Urban Other Principal Arterial: Exhaust"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Urban Minor Arterial: Total"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Minor Arterial: Urban Time 1"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Minor Arterial: Urban Time 2"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Minor Arterial: Urban Time 3"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Minor Arterial: Urban Time 4"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Urban Minor Arterial: Brake Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Urban Minor Arterial: Tire Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Urban Minor Arterial: Evap (except Refueling)"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Urban Minor Arterial: Exhaust"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Urban Collector: Total"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Collector: Urban Time 1"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Collector: Urban Time 2"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Collector: Urban Time 3"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Collector: Urban Time 4"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Urban Collector: Brake Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Urban Collector: Tire Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Urban Collector: Evap (except Refueling)"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Urban Collector: Exhaust"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Urban Local: Total"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Local: Urban Time 1"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Local: Urban Time 2"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Local: Urban Time 3"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Local: Urban Time 4"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Urban Local: Brake Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Urban Local: Tire Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Urban Local: Evap (except Refueling)"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Urban Local: Exhaust"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Parking Area: Rural"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Parking Area: Urban"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 3 & 4 (M6) = LDGT2 (M5)" "Parking Area: Total"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Total: All Road Types"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Rural Interstate: Total"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Interstate: Rural Time 1"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Interstate: Rural Time 2"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Interstate: Rural Time 3"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Interstate: Rural Time 4"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Rural Other Principal Arterial: Total"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Other Principal Arterial: Rural Time 1"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Other Principal Arterial: Rural Time 2"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Other Principal Arterial: Rural Time 3"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Other Principal Arterial: Rural Time 4"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Rural Minor Arterial: Total"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Minor Arterial: Rural Time 1"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Minor Arterial: Rural Time 2"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Minor Arterial: Rural Time 3"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Minor Arterial: Rural Time 4"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Rural Major Collector: Total"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Major Collector: Rural Time 1"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Major Collector: Rural Time 2"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Major Collector: Rural Time 3"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Major Collector: Rural Time 4"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Rural Minor Collector: Total"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Minor Collector: Rural Time 1"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Minor Collector: Rural Time 2"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Minor Collector: Rural Time 3"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Minor Collector: Rural Time 4"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Rural Local: Total"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Local: Rural Time 1"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Local: Rural Time 2"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Local: Rural Time 3"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Local: Rural Time 4"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Urban Interstate: Total"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Interstate: Urban Time 1"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Interstate: Urban Time 2"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Interstate: Urban Time 3"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Interstate: Urban Time 4"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Urban Other Freeways and Expressways: Total"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Other Freeways and Expressways: Urban Time 1"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Other Freeways and Expressways: Urban Time 2"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Other Freeways and Expressways: Urban Time 3"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Other Freeways and Expressways: Urban Time 4"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Urban Other Principal Arterial: Total"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Other Principal Arterial: Urban Time 1"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Other Principal Arterial: Urban Time 2"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Other Principal Arterial: Urban Time 3"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Other Principal Arterial: Urban Time 4"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Urban Minor Arterial: Total"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Minor Arterial: Urban Time 1"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Minor Arterial: Urban Time 2"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Minor Arterial: Urban Time 3"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Minor Arterial: Urban Time 4"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Urban Collector: Total"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Collector: Urban Time 1"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Collector: Urban Time 2"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Collector: Urban Time 3"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Collector: Urban Time 4"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Urban Local: Total"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Local: Urban Time 1"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Local: Urban Time 2"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Local: Urban Time 3"
"Highway Vehicles - Gasoline" "NOT USED - Previously all LDGT (1&2) under M5" "Local: Urban Time 4"
"Highway Vehicles - Gasoline" "Heavy Duty Gasoline Vehicles 2B thru 8B & Buses (HDGV)" "Total: All Road Types"
"Highway Vehicles - Gasoline" "Heavy Duty Gasoline Vehicles 2B thru 8B & Buses (HDGV)" "Rural Interstate: Total"
"Highway Vehicles - Gasoline" "Heavy Duty Gasoline Vehicles 2B thru 8B & Buses (HDGV)" "Interstate: Rural Time 1"
"Highway Vehicles - Gasoline" "Heavy Duty Gasoline Vehicles 2B thru 8B & Buses (HDGV)" "Interstate: Rural Time 2"
"Highway Vehicles - Gasoline" "Heavy Duty Gasoline Vehicles 2B thru 8B & Buses (HDGV)" "Interstate: Rural Time 3"
"Highway Vehicles - Gasoline" "Heavy Duty Gasoline Vehicles 2B thru 8B & Buses (HDGV)" "Interstate: Rural Time 4"
"Highway Vehicles - Gasoline" "Heavy Duty Gasoline Vehicles 2B thru 8B & Buses (HDGV)" "Rural Interstate: Brake Wear"
"Highway Vehicles - Gasoline" "Heavy Duty Gasoline Vehicles 2B thru 8B & Buses (HDGV)" "Rural Interstate: Tire Wear"
"Highway Vehicles - Gasoline" "Heavy Duty Gasoline Vehicles 2B thru 8B & Buses (HDGV)" "Rural Interstate: Evap (except Refueling)"
"Highway Vehicles - Gasoline" "Heavy Duty Gasoline Vehicles 2B thru 8B & Buses (HDGV)" "Rural Interstate: Exhaust"
"Highway Vehicles - Gasoline" "Heavy Duty Gasoline Vehicles 2B thru 8B & Buses (HDGV)" "Rural Other Principal Arterial: Total"
"Highway Vehicles - Gasoline" "Heavy Duty Gasoline Vehicles 2B thru 8B & Buses (HDGV)" "Other Principal Arterial: Rural Time 1"
"Highway Vehicles - Gasoline" "Heavy Duty Gasoline Vehicles 2B thru 8B & Buses (HDGV)" "Other Principal Arterial: Rural Time 2"
"Highway Vehicles - Gasoline" "Heavy Duty Gasoline Vehicles 2B thru 8B & Buses (HDGV)" "Other Principal Arterial: Rural Time 3"
"Highway Vehicles - Gasoline" "Heavy Duty Gasoline Vehicles 2B thru 8B & Buses (HDGV)" "Other Principal Arterial: Rural Time 4"
"Highway Vehicles - Gasoline" "Heavy Duty Gasoline Vehicles 2B thru 8B & Buses (HDGV)" "Rural Other Principal Arterial: Brake Wear"
"Highway Vehicles - Gasoline" "Heavy Duty Gasoline Vehicles 2B thru 8B & Buses (HDGV)" "Rural Other Principal Arterial: Tire Wear"
"Highway Vehicles - Gasoline" "Heavy Duty Gasoline Vehicles 2B thru 8B & Buses (HDGV)" "Rural Other Principal Arterial: Evap (except Refueling)"
"Highway Vehicles - Gasoline" "Heavy Duty Gasoline Vehicles 2B thru 8B & Buses (HDGV)" "Rural Other Principal Arterial: Exhaust"
"Highway Vehicles - Gasoline" "Heavy Duty Gasoline Vehicles 2B thru 8B & Buses (HDGV)" "Rural Minor Arterial: Total"
"Highway Vehicles - Gasoline" "Heavy Duty Gasoline Vehicles 2B thru 8B & Buses (HDGV)" "Minor Arterial: Rural Time 1"
"Highway Vehicles - Gasoline" "Heavy Duty Gasoline Vehicles 2B thru 8B & Buses (HDGV)" "Minor Arterial: Rural Time 2"
"Highway Vehicles - Gasoline" "Heavy Duty Gasoline Vehicles 2B thru 8B & Buses (HDGV)" "Minor Arterial: Rural Time 3"
"Highway Vehicles - Gasoline" "Heavy Duty Gasoline Vehicles 2B thru 8B & Buses (HDGV)" "Minor Arterial: Rural Time 4"
"Highway Vehicles - Gasoline" "Heavy Duty Gasoline Vehicles 2B thru 8B & Buses (HDGV)" "Rural Minor Arterial: Brake Wear"
"Highway Vehicles - Gasoline" "Heavy Duty Gasoline Vehicles 2B thru 8B & Buses (HDGV)" "Rural Minor Arterial: Tire Wear"
"Highway Vehicles - Gasoline" "Heavy Duty Gasoline Vehicles 2B thru 8B & Buses (HDGV)" "Rural Minor Arterial: Evap (except Refueling)"
