"SCC.Level.Two" "SCC.Level.Three" "SCC.Level.Four"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Interstate: Urban Time 1"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Interstate: Urban Time 2"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Interstate: Urban Time 3"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Interstate: Urban Time 4"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Urban Interstate: Brake Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Urban Interstate: Tire Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Urban Interstate: Evap (except Refueling)"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Urban Interstate: Exhaust"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Urban Other Freeways and Expressways: Total"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Other Freeways and Expressways: Urban Time 1"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Other Freeways and Expressways: Urban Time 2"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Other Freeways and Expressways: Urban Time 3"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Other Freeways and Expressways: Urban Time 4"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Urban Other Freeways and Expressways: Brake Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Urban Other Freeways and Expressways: Tire Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Urban Other Freeways and Expressways: Evap (except Refueling)"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Urban Other Freeways and Expressways: Exhaust"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Urban Other Principal Arterial: Total"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Other Principal Arterial: Urban Time 1"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Other Principal Arterial: Urban Time 2"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Other Principal Arterial: Urban Time 3"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Other Principal Arterial: Urban Time 4"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Urban Other Principal Arterial: Brake Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Urban Other Principal Arterial: Tire Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Urban Other Principal Arterial: Evap (except Refueling)"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Urban Other Principal Arterial: Exhaust"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Urban Minor Arterial: Total"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Minor Arterial: Urban Time 1"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Minor Arterial: Urban Time 2"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Minor Arterial: Urban Time 3"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Minor Arterial: Urban Time 4"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Urban Minor Arterial: Brake Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Urban Minor Arterial: Tire Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Urban Minor Arterial: Evap (except Refueling)"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Urban Minor Arterial: Exhaust"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Urban Collector: Total"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Collector: Urban Time 1"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Vehicles (LDGV)" "Collector: Urban Time 2"
